ID,Timestamp,OrientationX,OrientationY,OrientationZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,PositionX,PositionY,PositionZ,VelocityX,VelocityY,VelocityZ,AccelerationX,AccelerationY,AccelerationZ,Barometer,Thermometer,ThermometerStupido,Voltage
9,3.313312,0.05,179.98,0.74,0.61,0.07,-0.14,0.01,-0.26,-0.02,0.02,-0.69,-0.05,-0.01,-0.2,0.0,98986.0,0.0,0.0,0.0
8,2.975312,-0.1,179.98,-3.19,0.48,-0.18,-0.3,0.0,-0.06,-0.01,0.01,-0.43,-0.04,0.01,-1.3,-0.1,98986.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3.647312,0.1,179.95,-0.06,0.71,0.26,-0.23,0.02,-0.49,-0.04,0.02,-0.69,-0.05,0.02,-0.02,-0.0,98986.0,0.0,0.0,0.0
9,3.313312,0.05,179.98,0.74,0.61,0.07,-0.14,0.01,-0.26,-0.02,0.02,-0.69,-0.05,-0.01,-0.2,0.0,98986.0,0.0,0.0,0.0
11,3.981312,0.1,179.98,-0.01,-0.18,0.12,-0.14,0.02,-0.72,-0.06,0.02,-0.69,-0.05,-0.01,-0.04,-0.0,98986.0,18.14,28.39,3.7
12,4.309312,-0.01,180.04,-0.12,4.04,-0.64,-0.8,0.03,-0.95,-0.08,0.05,-0.68,-0.06,0.96,0.01,-0.29,98986.0,18.14,28.39,3.7
13,4.639312,0.38,179.64,3.6,32.27,4.99,-6.79,0.04,-1.17,-0.09,0.03,-0.64,-0.06,0.61,0.18,0.3,98986.0,18.14,28.39,3.7
14,4.973312,-2.15,174.82,-2.27,-21.9,-42.08,-17.12,0.06,-1.35,-0.11,0.03,-0.52,0.04,-0.58,0.49,0.61,98989.0,18.16,31.14,3.7
15,5.314312,-9.97,161.14,-7.08,-0.93,16.31,-66.08,0.14,-1.57,-0.12,0.56,-0.8,-0.19,1.16,-2.63,0.03,98989.0,18.16,31.14,3.7
